Unnamed: 0,WellID,FirstMonthOil,FirstMonthGas,FirstMonthRatioGasOil,FirstMonthWater,firstMonthPercentWater,FirstMonthDaysOn,SecondMonthOil,SecondMonthGas,SecondMonthRatioGasOil,SecondMonthWater,SecondMonthPercentWater,SecondMonthDaysOn,ThirdMonthOil,ThirdMonthGas,ThirdMonthRatioGasOil,ThirdMonthWater,ThirdMonthPercentWater,ThirdMonthDaysOn,FourthMonthOil,FourthMonthGas,FourthMonthRatioGasOil,FourthMonthWater,FourthMonthPercentWater,FourthMonthDaysOn,FifthMonthOil,FifthMonthGas,FifthMonthRatioGasOil,FifthMonthWater,FifthMonthPercentWater,FifthMonthDaysOn,SixthMonthOil,SixthMonthGas,SixthMonthRatioGasOil,SixthMonthWater,SixthMonthPercentWater,SixthMonthDaysOn,TotalOilInNext6Months,TotalGasInNext6Months
3,5343,22672.0,3818.0,0.16840155257586498,14759.0,0.6509791813690899,30.0,12766.0,2308.0,0.180792730690898,7921.0,0.620476265079116,28.0,4990.0,607.0,0.121643286573146,2330.0,0.466933867735471,10.0,11002.0,1419.0,0.128976549718233,6576.0,0.597709507362298,31.0,7141.0,506.0,0.0708584231900294,4451.0,0.623302058535219,22.0,6516.0,479.0,0.0735113566605279,4075.0,0.625383670963781,27.0,61152.0,5893.0
4,5663,7919.0,4328.0,0.546533653239045,5278.0,0.6664982952392979,20.0,5082.0,2779.0,0.5468319559228649,2402.0,0.472648563557654,28.0,3168.0,540.0,0.17045454545454505,1683.0,0.53125,25.0,2774.0,283.0,0.102018745493872,1172.0,0.422494592645999,30.0,1925.0,378.0,0.196363636363636,782.0,0.406233766233766,24.0,2015.0,1195.0,0.5930521091811409,796.0,0.3950372208436721,23.0,13172.0,7529.0
8,7697,18653.0,0.0,0.0,9585.0,0.5138583605854289,30.0,13372.0,23154.0,1.73152856715525,0.0,0.0,31.0,12189.0,19935.0,1.63549101649028,3665.0,0.3006809418328,30.0,10034.0,16316.0,1.62607135738489,2913.0,0.29031293601754,31.0,11982.0,23337.0,1.94767150726089,4137.0,0.345267901852779,30.0,9070.0,18020.0,1.9867695700110304,3102.0,0.342006615214994,31.0,32858.0,57060.0
9,7394,19784.0,33837.0,1.71032147189648,9433.0,0.476799433885968,30.0,17166.0,27167.0,1.58260514971455,6641.0,0.38686939298613504,31.0,16525.0,22777.0,1.37833585476551,5927.0,0.358668683812405,30.0,13113.0,18209.0,1.38862197818958,4568.0,0.348356592694273,31.0,9202.0,11550.0,1.25516192132145,3504.0,0.3807867854814169,31.0,6102.0,8675.0,1.42166502785972,2145.0,0.351524090462144,18.0,31784.0,45579.0
10,7318,16157.0,21461.0,1.32827876462215,7529.0,0.4659899733861479,30.0,12263.0,14664.0,1.19579222050069,5728.0,0.467096142868792,31.0,11019.0,14039.0,1.27407205735548,4518.0,0.410019057990743,30.0,14154.0,19746.0,1.39508266214498,5486.0,0.387593613112901,31.0,4046.0,4337.0,1.07192288680178,1627.0,0.40212555610479495,14.0,0.0,2941.0,0.0,0.0,0.0,1.0,40715.0,59066.0
11,7953,11933.0,8585.0,0.719433503729154,7960.0,0.66705773904299,19.0,7343.0,8167.0,1.11221571564756,5083.0,0.6922238866948109,28.0,1624.0,2949.0,1.81588669950739,1357.0,0.8355911330049258,12.0,3748.0,6958.0,1.8564567769477096,2773.0,0.739861259338314,19.0,3643.0,4776.0,1.3110074114740602,2444.0,0.670875651935218,18.0,4801.0,5932.0,1.2355759216829798,4859.0,1.0120808164965602,31.0,19316.0,29980.0
13,7541,16297.0,22870.0,1.40332576547831,14396.0,0.88335276431245,28.0,2334.0,4305.0,1.84447300771208,1829.0,0.78363324764353,30.0,6340.0,11362.0,1.79211356466877,4918.0,0.7757097791798109,20.0,4064.0,6875.0,1.69168307086614,4366.0,1.07431102362205,15.0,10757.0,18629.0,1.73180254717858,9150.0,0.8506089058287629,30.0,5226.0,10065.0,1.92594718714122,4018.0,0.76884806735553,22.0,37132.0,70344.0
14,6875,11073.0,22715.0,2.0513862548541497,9172.0,0.8283211415153979,30.0,4864.0,15009.0,3.0857319078947403,3914.0,0.8046875,27.0,4068.0,13098.0,3.21976401179941,2862.0,0.7035398230088499,30.0,3078.0,10023.0,3.2563352826510696,1657.0,0.538336582196231,29.0,2648.0,4460.0,1.68429003021148,2001.0,0.755664652567976,14.0,4345.0,11776.0,2.7102416570771,3083.0,0.709551208285386,31.0,20523.0,22955.0
16,6906,5676.0,5832.0,1.02748414376321,2983.0,0.525546159267089,30.0,3037.0,3087.0,1.0164636154099398,1390.0,0.4576885083964439,31.0,3747.0,1446.0,0.385908726981585,2372.0,0.6330397651454499,28.0,4924.0,6381.0,1.2958976441917098,2603.0,0.528635255889521,29.0,4575.0,6357.0,1.38950819672131,2367.0,0.5173770491803279,31.0,3765.0,5032.0,1.3365205843293502,1940.0,0.51527224435591,30.0,10335.0,7033.0
17,9,21091.0,0.0,0.0,0.0,0.0,31.0,16069.0,0.0,0.0,0.0,0.0,30.0,4926.0,0.0,0.0,0.0,0.0,31.0,4334.0,4489.0,1.03576372865713,178.0,0.0410706045223812,12.0,3984.0,4174.0,1.04769076305221,0.0,0.0,12.0,9429.0,3011.0,0.3193339696680449,1482.0,0.15717467387846,31.0,27725.0,112005.0
18,609,3981.0,17020.0,4.27530771163024,371.0,0.0931926651595077,30.0,3639.0,16241.0,4.46303929651003,347.0,0.0953558669964276,31.0,3157.0,15100.0,4.78302185619259,0.0,0.0,31.0,2562.0,12553.0,4.89968774395004,215.0,0.0839188134270101,28.0,2628.0,13058.0,4.96879756468798,0.0,0.0,31.0,2101.0,10938.0,5.2060923369823895,73.0,0.0347453593526892,30.0,11565.0,59822.0
20,1715,9244.0,20263.0,2.19201644309823,0.0,0.0,27.0,4388.0,24005.0,5.470601640838653,917.0,0.20897903372835,30.0,3997.0,23574.0,5.8979234425819405,1165.0,0.291468601451088,31.0,3785.0,9914.0,2.6192866578599703,1086.0,0.28692206076618204,31.0,2693.0,7295.0,2.70887486075009,841.0,0.31229112513925,29.0,1607.0,6535.0,4.06658369632856,2171.0,1.3509645301804598,25.0,12279.0,50008.0
21,5414,4428.0,2026.0,0.457542908762421,7188.0,1.6233062330623302,23.0,3600.0,0.0,0.0,1202.0,0.333888888888889,30.0,3093.0,881.0,0.2848367280957,658.0,0.212738441642418,31.0,2824.0,1306.0,0.4624645892351271,457.0,0.161827195467422,30.0,1147.0,399.0,0.347863993025283,418.0,0.364428945074106,8.0,2590.0,1149.0,0.443629343629344,1365.0,0.527027027027027,15.0,16094.0,6345.0
